LSOA21CD,All categories: Number of bedrooms_weighted,No bedrooms_weighted,1 bedroom_weighted,2 bedrooms_weighted,3 bedrooms_weighted,4 bedrooms_weighted,5 or more bedrooms_weighted
E01001065,672.0,2.0,245.0,109.0,236.0,70.0,10.0
E01001066,493.0,1.0,75.0,85.0,300.0,28.0,4.0
E01001067,578.0,1.0,3.0,63.0,198.0,221.0,92.0
E01001068,784.0,3.0,46.0,284.0,207.0,184.0,60.0
E01001069,500.0,2.0,21.0,75.0,254.0,88.0,60.0
E01001070,659.0,1.0,19.0,158.0,320.0,126.0,35.0
E01001071,735.0,0.0,18.0,215.0,359.0,123.0,20.0
E01001072,533.0,0.0,8.0,49.0,137.0,228.0,111.0
E01001073,618.0,4.0,107.0,160.0,210.0,114.0,23.0
E01001074,828.0,0.0,162.0,295.0,178.0,148.0,45.0
E01001075,646.0,5.0,58.0,256.0,259.0,50.0,18.0
E01001076,581.0,0.0,22.0,196.0,324.0,33.0,6.0
E01001077,523.0,0.0,10.0,172.0,277.0,58.0,6.0
E01001078,513.0,1.0,7.0,191.0,267.0,40.0,7.0
E01001079,639.0,2.0,45.0,287.0,263.0,35.0,7.0
E01001080,687.0,8.0,274.0,145.0,230.0,29.0,1.0
E01001081,506.0,1.0,7.0,149.0,319.0,19.0,11.0
E01001082,560.0,1.0,6.0,180.0,324.0,40.0,9.0
E01001083,536.0,1.0,4.0,20.0,310.0,143.0,58.0
E01001084,665.0,2.0,26.0,105.0,276.0,177.0,79.0
E01001085,612.0,2.0,105.0,100.0,311.0,73.0,21.0
E01001086,603.0,2.0,17.0,60.0,361.0,132.0,31.0
E01001087,848.0,5.0,243.0,227.0,136.0,152.0,85.0
E01001088,592.0,0.0,8.0,148.0,377.0,52.0,7.0
E01001089,715.0,4.0,109.0,250.0,264.0,67.0,21.0
E01001090,922.0,0.0,163.0,492.0,144.0,85.0,38.0
E01001091,562.0,0.0,36.0,84.0,181.0,191.0,70.0
E01001092,588.0,2.0,58.0,122.0,84.0,166.0,156.0
E01001093,694.0,1.0,49.0,185.0,325.0,98.0,36.0
E01001094,521.0,1.0,7.0,46.0,57.0,177.0,233.0
E01001095,584.0,2.0,80.0,235.0,186.0,56.0,25.0
E01001096,530.0,0.0,17.0,33.0,135.0,261.0,84.0
E01001097,1059.0,5.0,321.0,436.0,166.0,103.0,28.0
E01001098,515.0,0.0,5.0,49.0,166.0,208.0,87.0
E01001099,586.0,1.0,45.0,144.0,293.0,85.0,18.0
E01001100,619.0,2.0,96.0,127.0,240.0,129.0,25.0
E01001101,509.0,0.0,4.0,26.0,276.0,152.0,51.0
E01001102,605.0,0.0,45.0,139.0,136.0,205.0,80.0
E01001103,651.0,1.0,21.0,129.0,336.0,131.0,33.0
E01001104,642.0,4.0,17.0,77.0,386.0,138.0,20.0
E01001105,632.0,2.0,19.0,78.0,441.0,77.0,15.0
E01001106,540.0,2.0,15.0,105.0,334.0,65.0,19.0
E01001107,662.0,3.0,64.0,145.0,117.0,231.0,102.0
E01001108,628.0,0.0,4.0,43.0,295.0,221.0,65.0
E01001109,845.0,7.0,221.0,317.0,253.0,38.0,9.0
E01001110,771.0,7.0,273.0,292.0,136.0,47.0,16.0
E01001111,610.0,4.0,85.0,246.0,216.0,48.0,11.0
E01001112,763.0,6.0,264.0,274.0,163.0,46.0,10.0
E01001113,795.0,12.0,275.0,269.0,169.0,61.0,9.0
E01001114,585.0,5.0,153.0,269.0,116.0,30.0,12.0
E01001115,657.0,5.0,136.0,205.0,229.0,71.0,11.0
E01001116,528.0,4.0,63.0,264.0,160.0,32.0,5.0
E01001118,795.0,2.0,216.0,329.0,189.0,46.0,13.0
E01001119,576.0,1.0,7.0,116.0,320.0,121.0,11.0
E01001120,480.0,1.0,2.0,49.0,313.0,91.0,24.0
E01001121,501.0,0.0,7.0,50.0,142.0,204.0,98.0
E01001122,507.0,0.0,10.0,27.0,192.0,209.0,69.0
E01001123,598.0,0.0,9.0,72.0,326.0,151.0,40.0
E01001124,609.0,0.0,4.0,17.0,208.0,336.0,44.0
E01001125,602.0,0.0,24.0,52.0,324.0,162.0,40.0
E01001126,598.0,2.0,10.0,221.0,272.0,73.0,20.0
E01001127,574.0,1.0,13.0,24.0,430.0,90.0,16.0
E01001128,566.0,2.0,19.0,241.0,268.0,32.0,4.0
E01001129,502.0,0.0,1.0,16.0,347.0,108.0,30.0
E01001130,598.0,2.0,42.0,292.0,245.0,14.0,3.0
E01001131,685.0,1.0,76.0,153.0,361.0,86.0,8.0
E01001132,607.0,1.0,6.0,173.0,240.0,139.0,48.0
E01001133,726.0,2.0,58.0,288.0,214.0,112.0,52.0
E01001134,697.0,6.0,100.0,156.0,263.0,161.0,11.0
E01001135,631.0,0.0,14.0,112.0,337.0,133.0,35.0
E01001136,927.0,8.0,462.0,272.0,125.0,36.0,24.0
E01001137,875.0,7.0,264.0,348.0,140.0,100.0,16.0
E01001138,774.0,0.0,221.0,341.0,140.0,38.0,34.0
E01001139,694.0,4.0,147.0,179.0,255.0,81.0,28.0
E01001140,773.0,2.0,190.0,394.0,138.0,32.0,17.0
E01001141,568.0,0.0,183.0,216.0,114.0,46.0,9.0
E01001142,620.0,1.0,90.0,130.0,290.0,76.0,33.0
E01001143,848.0,6.0,273.0,187.0,306.0,60.0,16.0
E01001144,797.0,0.0,282.0,300.0,154.0,29.0,32.0
E01001145,848.0,5.0,401.0,322.0,93.0,22.0,5.0
E01001146,607.0,0.0,62.0,149.0,329.0,59.0,8.0
E01001147,620.0,5.0,82.0,277.0,198.0,52.0,6.0
E01001148,673.0,1.0,95.0,253.0,270.0,43.0,11.0
E01001149,619.0,0.0,54.0,195.0,308.0,51.0,11.0
E01001150,620.0,2.0,67.0,104.0,350.0,74.0,23.0
E01001151,671.0,7.0,187.0,188.0,236.0,37.0,16.0
E01001152,674.0,5.0,135.0,289.0,197.0,27.0,21.0
E01001153,591.0,0.0,55.0,108.0,361.0,49.0,18.0
E01001154,735.0,3.0,104.0,284.0,258.0,68.0,18.0
E01001155,761.0,5.0,351.0,226.0,133.0,30.0,16.0
E01001156,721.0,7.0,205.0,218.0,177.0,88.0,26.0
E01001157,615.0,1.0,64.0,101.0,309.0,98.0,42.0
E01001158,700.0,2.0,131.0,265.0,254.0,41.0,7.0
E01001159,741.0,1.0,48.0,248.0,263.0,140.0,41.0
E01001160,627.0,3.0,36.0,50.0,321.0,146.0,71.0
E01001161,566.0,4.0,42.0,78.0,208.0,206.0,28.0
E01001162,767.0,2.0,191.0,266.0,248.0,46.0,14.0
E01001163,798.0,1.0,99.0,267.0,307.0,99.0,25.0
E01001164,962.0,8.0,379.0,372.0,147.0,32.0,24.0
E01001165,676.0,2.0,119.0,159.0,304.0,66.0,26.0
E01001166,835.0,10.0,287.0,309.0,183.0,43.0,3.0
E01001167,829.0,0.0,77.0,237.0,407.0,96.0,12.0
E01001168,740.0,1.0,118.0,325.0,206.0,72.0,18.0
E01001169,651.0,3.0,89.0,154.0,368.0,27.0,10.0
E01001170,989.0,2.0,371.0,498.0,86.0,19.0,13.0
E01001171,681.0,8.0,148.0,310.0,140.0,62.0,13.0
E01001172,616.0,7.0,60.0,152.0,356.0,33.0,8.0
E01001173,1089.0,6.0,137.0,508.0,268.0,126.0,44.0
E01001174,523.0,0.0,26.0,41.0,362.0,63.0,31.0
E01001175,527.0,0.0,73.0,130.0,277.0,38.0,9.0
E01001176,628.0,1.0,55.0,222.0,262.0,66.0,22.0
E01001177,551.0,3.0,68.0,140.0,287.0,48.0,5.0
E01001178,505.0,2.0,151.0,199.0,94.0,30.0,29.0
E01001179,538.0,1.0,22.0,202.0,278.0,30.0,5.0
E01001180,609.0,0.0,84.0,244.0,246.0,30.0,5.0
E01001181,759.0,6.0,249.0,336.0,143.0,15.0,10.0
E01001182,462.0,1.0,58.0,79.0,200.0,87.0,37.0
E01001183,550.0,3.0,82.0,108.0,271.0,59.0,27.0
E01001184,456.0,0.0,8.0,49.0,302.0,69.0,28.0
E01001185,717.0,0.0,155.0,298.0,214.0,37.0,13.0
E01001186,841.0,6.0,268.0,298.0,223.0,33.0,13.0
E01001187,809.0,2.0,159.0,244.0,360.0,29.0,15.0
E01001188,728.0,4.0,109.0,313.0,241.0,46.0,15.0
E01001189,465.0,0.0,13.0,131.0,286.0,31.0,4.0
E01001190,616.0,1.0,54.0,170.0,357.0,28.0,6.0
E01001191,823.0,10.0,313.0,247.0,181.0,53.0,19.0
E01001192,727.0,1.0,201.0,296.0,195.0,28.0,6.0
E01001193,583.0,5.0,25.0,204.0,282.0,48.0,19.0
E01001194,624.0,1.0,23.0,260.0,298.0,32.0,10.0
E01001195,598.0,1.0,24.0,82.0,364.0,105.0,22.0
E01001196,762.0,9.0,275.0,251.0,130.0,68.0,29.0
E01001197,668.0,9.0,176.0,195.0,149.0,93.0,46.0
E01001198,584.0,3.0,151.0,131.0,123.0,110.0,66.0
E01001199,694.0,2.0,170.0,275.0,126.0,77.0,44.0
E01001200,586.0,3.0,135.0,179.0,148.0,74.0,47.0
E01001201,642.0,2.0,166.0,184.0,135.0,83.0,72.0
E01001202,871.0,3.0,287.0,311.0,163.0,74.0,33.0
E01001203,861.0,5.0,459.0,255.0,102.0,22.0,18.0
E01001204,585.0,1.0,67.0,130.0,168.0,159.0,60.0
E01001205,598.0,5.0,126.0,281.0,86.0,76.0,24.0
E01001206,582.0,2.0,124.0,237.0,153.0,58.0,8.0
E01001207,668.0,2.0,186.0,166.0,162.0,102.0,50.0
E01001208,498.0,0.0,32.0,33.0,213.0,174.0,46.0
E01001209,647.0,0.0,57.0,102.0,256.0,187.0,45.0
E01001210,740.0,6.0,218.0,266.0,214.0,30.0,6.0
E01001211,705.0,2.0,189.0,217.0,82.0,131.0,84.0
E01001212,691.0,11.0,208.0,145.0,112.0,136.0,79.0
E01001213,503.0,0.0,35.0,80.0,276.0,87.0,25.0
E01001214,477.0,0.0,20.0,35.0,275.0,108.0,39.0
E01001215,552.0,1.0,112.0,117.0,206.0,86.0,30.0
E01001216,476.0,1.0,31.0,183.0,159.0,83.0,19.0
E01001217,455.0,3.0,14.0,33.0,314.0,72.0,19.0
E01001218,692.0,0.0,137.0,245.0,252.0,44.0,14.0
E01001219,674.0,5.0,157.0,233.0,230.0,42.0,7.0
E01001220,471.0,1.0,33.0,215.0,194.0,17.0,11.0
E01001223,643.0,11.0,172.0,242.0,56.0,55.0,107.0
E01001224,570.0,2.0,67.0,84.0,55.0,141.0,221.0
E01001225,807.0,3.0,223.0,294.0,133.0,70.0,84.0
E01001226,668.0,2.0,185.0,250.0,123.0,43.0,65.0
E01001227,602.0,2.0,99.0,106.0,144.0,140.0,111.0
E01001228,792.0,12.0,188.0,399.0,51.0,39.0,103.0
E01001229,597.0,2.0,69.0,218.0,239.0,48.0,21.0
E01001230,629.0,4.0,144.0,202.0,121.0,89.0,69.0
E01001231,696.0,6.0,78.0,140.0,140.0,224.0,108.0
E01001232,612.0,3.0,123.0,152.0,201.0,87.0,46.0
E01001233,599.0,2.0,146.0,104.0,274.0,53.0,20.0
E01001234,640.0,4.0,233.0,204.0,85.0,55.0,59.0
E01001235,691.0,6.0,134.0,351.0,132.0,42.0,26.0
E01001236,741.0,3.0,234.0,269.0,123.0,53.0,59.0
E01001237,652.0,4.0,166.0,233.0,80.0,64.0,105.0
E01001239,553.0,1.0,122.0,182.0,183.0,60.0,5.0
E01001240,512.0,4.0,61.0,65.0,256.0,91.0,35.0
E01001241,503.0,2.0,100.0,81.0,201.0,73.0,46.0
E01001242,524.0,7.0,118.0,148.0,103.0,83.0,65.0
E01001243,649.0,5.0,171.0,202.0,157.0,85.0,29.0
E01001244,1099.0,7.0,356.0,426.0,226.0,72.0,12.0
E01001245,823.0,2.0,193.0,362.0,174.0,68.0,24.0
E01001246,492.0,1.0,49.0,123.0,264.0,43.0,12.0
E01001247,674.0,4.0,51.0,105.0,312.0,127.0,75.0
E01001248,581.0,2.0,60.0,162.0,210.0,102.0,45.0
E01001249,1025.0,3.0,463.0,371.0,142.0,32.0,14.0
E01001250,983.0,4.0,424.0,342.0,153.0,39.0,21.0
E01001251,659.0,1.0,113.0,210.0,212.0,93.0,30.0
E01001252,768.0,5.0,190.0,228.0,236.0,77.0,32.0
E01001253,670.0,0.0,91.0,239.0,277.0,52.0,11.0
E01001254,750.0,2.0,210.0,259.0,214.0,55.0,10.0
E01001255,608.0,1.0,112.0,94.0,270.0,107.0,24.0
E01001257,659.0,5.0,196.0,224.0,164.0,61.0,9.0
E01001258,634.0,1.0,53.0,242.0,269.0,51.0,18.0
E01001259,510.0,2.0,38.0,144.0,262.0,54.0,10.0
E01001260,660.0,4.0,64.0,220.0,225.0,97.0,50.0
E01001261,758.0,8.0,110.0,177.0,371.0,66.0,26.0
E01001262,558.0,0.0,93.0,130.0,285.0,41.0,9.0
E01001263,647.0,2.0,150.0,227.0,195.0,66.0,7.0
E01001264,612.0,3.0,96.0,205.0,268.0,34.0,6.0
E01001265,627.0,3.0,158.0,121.0,283.0,47.0,15.0
E01001266,578.0,0.0,16.0,86.0,373.0,78.0,25.0
E01001267,814.0,3.0,218.0,348.0,172.0,58.0,15.0
E01001268,629.0,0.0,28.0,171.0,325.0,78.0,27.0
E01001269,646.0,1.0,31.0,156.0,379.0,65.0,14.0
E01001270,565.0,4.0,23.0,72.0,405.0,51.0,10.0
E01001271,593.0,0.0,54.0,98.0,361.0,64.0,16.0
E01001272,542.0,3.0,89.0,74.0,283.0,60.0,33.0
E01001273,597.0,1.0,55.0,119.0,145.0,158.0,119.0
E01001274,585.0,0.0,68.0,104.0,228.0,157.0,28.0
E01001275,857.0,9.0,340.0,285.0,101.0,40.0,82.0
E01001276,651.0,1.0,162.0,108.0,263.0,78.0,39.0
E01001277,668.0,0.0,86.0,172.0,272.0,95.0,43.0
E01001278,801.0,7.0,163.0,314.0,160.0,95.0,62.0
E01001279,564.0,0.0,22.0,59.0,231.0,176.0,76.0
E01001280,782.0,4.0,158.0,371.0,133.0,76.0,40.0
E01001281,625.0,2.0,53.0,159.0,285.0,98.0,28.0
E01001282,627.0,4.0,138.0,260.0,195.0,23.0,7.0
E01001283,712.0,0.0,268.0,234.0,183.0,23.0,4.0
E01001284,538.0,1.0,31.0,44.0,362.0,80.0,20.0
E01001285,562.0,1.0,46.0,219.0,228.0,51.0,17.0
E01001286,620.0,2.0,40.0,262.0,265.0,43.0,8.0
E01001287,483.0,1.0,24.0,173.0,244.0,28.0,13.0
E01001288,531.0,1.0,56.0,124.0,229.0,88.0,33.0
E01001289,476.0,3.0,48.0,98.0,164.0,112.0,51.0
E01001290,738.0,2.0,144.0,295.0,125.0,112.0,60.0
E01001291,495.0,1.0,25.0,83.0,300.0,60.0,26.0
E01001292,504.0,1.0,15.0,30.0,348.0,81.0,29.0
E01001293,478.0,3.0,27.0,86.0,310.0,44.0,8.0
E01001294,538.0,2.0,29.0,85.0,299.0,77.0,46.0
E01001295,521.0,1.0,17.0,100.0,314.0,72.0,17.0
E01001296,404.0,1.0,3.0,82.0,242.0,55.0,21.0
E01001297,495.0,1.0,12.0,117.0,278.0,70.0,17.0
E01001298,529.0,1.0,46.0,76.0,292.0,80.0,34.0
E01001299,651.0,0.0,29.0,83.0,275.0,204.0,60.0
E01001300,608.0,0.0,54.0,107.0,250.0,174.0,23.0
E01001301,707.0,0.0,234.0,271.0,137.0,57.0,8.0
E01001302,614.0,2.0,72.0,172.0,219.0,117.0,32.0
E01001303,624.0,3.0,60.0,141.0,214.0,148.0,58.0
E01001304,705.0,1.0,204.0,244.0,147.0,90.0,19.0
E01001305,634.0,2.0,49.0,123.0,272.0,151.0,37.0
E01001306,713.0,5.0,143.0,249.0,217.0,83.0,16.0
E01001307,633.0,3.0,70.0,56.0,407.0,69.0,28.0
E01001308,679.0,2.0,49.0,66.0,422.0,117.0,23.0
E01001309,614.0,1.0,55.0,108.0,389.0,49.0,12.0
E01001310,663.0,1.0,136.0,202.0,268.0,50.0,6.0
E01001311,663.0,2.0,128.0,185.0,244.0,81.0,23.0
E01001312,590.0,3.0,38.0,100.0,342.0,77.0,30.0
E01001313,516.0,2.0,13.0,48.0,338.0,82.0,33.0
E01001314,506.0,1.0,28.0,40.0,342.0,80.0,15.0
E01001315,495.0,4.0,38.0,189.0,220.0,40.0,4.0
E01001316,620.0,4.0,97.0,349.0,133.0,27.0,10.0
E01001317,686.0,2.0,43.0,370.0,221.0,40.0,10.0
E01001318,677.0,3.0,146.0,270.0,230.0,23.0,5.0
E01001319,490.0,0.0,10.0,161.0,249.0,48.0,22.0
E01001320,534.0,1.0,64.0,204.0,239.0,20.0,6.0
E01001321,758.0,2.0,81.0,290.0,323.0,52.0,10.0
E01001322,627.0,2.0,97.0,171.0,286.0,57.0,14.0
E01001323,684.0,1.0,92.0,326.0,218.0,39.0,8.0
E01001324,662.0,8.0,193.0,275.0,156.0,21.0,9.0
E01001325,602.0,5.0,74.0,129.0,336.0,41.0,17.0
E01001326,674.0,4.0,131.0,318.0,178.0,32.0,11.0
E01001327,600.0,4.0,76.0,103.0,338.0,59.0,20.0
E01001328,620.0,5.0,84.0,236.0,245.0,35.0,15.0
E01001329,631.0,3.0,58.0,242.0,252.0,60.0,16.0
E01001330,636.0,6.0,228.0,215.0,164.0,21.0,2.0
E01001331,618.0,2.0,182.0,228.0,189.0,12.0,5.0
E01001332,579.0,2.0,134.0,285.0,103.0,42.0,13.0
E01001333,563.0,0.0,144.0,171.0,164.0,55.0,29.0
E01001334,522.0,1.0,146.0,121.0,210.0,31.0,13.0
E01001335,524.0,2.0,71.0,88.0,152.0,111.0,100.0
E01001336,519.0,2.0,111.0,125.0,145.0,85.0,51.0
E01001337,452.0,0.0,77.0,54.0,245.0,62.0,14.0
E01001338,518.0,1.0,73.0,72.0,209.0,94.0,69.0
E01001339,568.0,1.0,100.0,213.0,160.0,56.0,38.0
E01001340,506.0,2.0,112.0,237.0,116.0,28.0,11.0
E01001341,529.0,5.0,47.0,107.0,280.0,67.0,23.0
E01001342,638.0,9.0,135.0,164.0,215.0,86.0,29.0
E01001343,483.0,0.0,18.0,40.0,333.0,70.0,22.0
E01001344,880.0,7.0,235.0,193.0,351.0,61.0,33.0
E01001345,501.0,3.0,23.0,78.0,320.0,54.0,23.0
E01001346,634.0,0.0,19.0,93.0,434.0,63.0,25.0
E01001347,518.0,0.0,29.0,70.0,340.0,61.0,18.0
E01001348,626.0,1.0,94.0,204.0,259.0,42.0,26.0
E01001349,507.0,0.0,71.0,108.0,240.0,71.0,17.0
E01001350,621.0,1.0,199.0,145.0,79.0,90.0,107.0
E01001351,811.0,7.0,283.0,290.0,110.0,64.0,57.0
E01001352,571.0,3.0,127.0,152.0,84.0,93.0,112.0
E01001353,718.0,1.0,223.0,282.0,124.0,52.0,36.0
E01001354,677.0,3.0,160.0,174.0,112.0,130.0,98.0
E01001355,760.0,0.0,287.0,239.0,137.0,83.0,14.0
E01001356,841.0,3.0,355.0,353.0,103.0,18.0,9.0
E01001357,426.0,2.0,123.0,172.0,100.0,24.0,5.0
E01001358,586.0,9.0,131.0,295.0,112.0,30.0,9.0
E01001359,562.0,5.0,51.0,92.0,285.0,96.0,33.0
E01001360,505.0,0.0,35.0,44.0,315.0,87.0,24.0
E01001361,460.0,3.0,73.0,138.0,140.0,66.0,40.0
E01001362,511.0,3.0,73.0,57.0,281.0,79.0,18.0
E01001363,471.0,2.0,17.0,153.0,229.0,51.0,19.0
E01001364,516.0,5.0,115.0,85.0,201.0,84.0,26.0
E01001365,590.0,1.0,52.0,81.0,356.0,81.0,19.0
E01001366,543.0,3.0,43.0,163.0,265.0,46.0,23.0
E01001367,527.0,3.0,107.0,136.0,209.0,48.0,24.0
E01001368,456.0,1.0,18.0,90.0,265.0,63.0,19.0
E01001369,525.0,1.0,84.0,131.0,229.0,57.0,23.0
E01001370,532.0,2.0,35.0,78.0,323.0,79.0,15.0
E01001371,594.0,4.0,59.0,144.0,304.0,64.0,19.0
E01001372,493.0,2.0,68.0,90.0,263.0,58.0,12.0
E01001373,412.0,0.0,32.0,47.0,285.0,37.0,11.0
E01001374,805.0,0.0,199.0,244.0,235.0,102.0,25.0
E01001375,706.0,1.0,66.0,172.0,258.0,172.0,37.0
E01001376,743.0,3.0,273.0,259.0,125.0,57.0,26.0
E01001377,718.0,2.0,105.0,200.0,113.0,135.0,163.0
E01001379,709.0,0.0,71.0,170.0,235.0,184.0,49.0
E01001380,762.0,1.0,194.0,223.0,185.0,115.0,44.0
E01001381,738.0,2.0,208.0,205.0,175.0,109.0,39.0
E01001382,564.0,0.0,55.0,60.0,143.0,178.0,128.0
E01001383,662.0,1.0,136.0,108.0,260.0,104.0,53.0
E01001384,677.0,1.0,107.0,245.0,229.0,66.0,29.0
E01001385,667.0,3.0,78.0,222.0,227.0,105.0,32.0
E01001386,735.0,0.0,145.0,178.0,142.0,167.0,103.0
E01001387,713.0,6.0,261.0,249.0,70.0,64.0,63.0
E01001388,743.0,1.0,322.0,208.0,127.0,50.0,35.0
E01001389,726.0,2.0,205.0,244.0,155.0,79.0,41.0
E01001390,762.0,1.0,195.0,156.0,272.0,115.0,23.0
E01001391,687.0,8.0,298.0,184.0,115.0,49.0,33.0
E01001392,665.0,7.0,45.0,124.0,352.0,110.0,27.0
E01001393,839.0,2.0,244.0,257.0,193.0,109.0,34.0
E01001394,640.0,4.0,128.0,179.0,254.0,58.0,17.0
E01001395,620.0,4.0,101.0,229.0,242.0,38.0,6.0
E01001396,511.0,1.0,60.0,82.0,248.0,87.0,33.0
E01001397,783.0,4.0,200.0,220.0,290.0,50.0,19.0
E01001398,491.0,0.0,14.0,22.0,307.0,110.0,38.0
E01001399,499.0,1.0,7.0,45.0,343.0,74.0,29.0
E01001400,587.0,1.0,45.0,108.0,267.0,130.0,36.0
E01001401,501.0,0.0,6.0,52.0,377.0,58.0,8.0
E01001402,691.0,1.0,56.0,131.0,303.0,159.0,41.0
E01001403,633.0,5.0,114.0,64.0,346.0,86.0,18.0
E01001404,525.0,0.0,20.0,74.0,347.0,60.0,24.0
E01001405,862.0,2.0,267.0,342.0,115.0,94.0,42.0
E01001406,675.0,1.0,156.0,198.0,235.0,56.0,29.0
E01001407,613.0,0.0,15.0,203.0,308.0,71.0,16.0
E01001408,731.0,0.0,78.0,335.0,264.0,41.0,13.0
E01001409,806.0,6.0,226.0,262.0,242.0,53.0,17.0
E01001410,755.0,3.0,269.0,305.0,154.0,21.0,3.0
E01001411,759.0,0.0,94.0,237.0,339.0,79.0,10.0
E01001412,677.0,0.0,13.0,184.0,329.0,101.0,50.0
E01001413,612.0,0.0,27.0,89.0,320.0,143.0,33.0
E01001414,687.0,2.0,127.0,367.0,168.0,16.0,7.0
E01001415,677.0,6.0,138.0,201.0,163.0,138.0,31.0
E01001416,598.0,0.0,17.0,21.0,318.0,192.0,50.0
E01001417,601.0,1.0,10.0,79.0,120.0,198.0,193.0
E01001418,703.0,4.0,139.0,153.0,271.0,111.0,25.0
E01001419,794.0,0.0,60.0,367.0,239.0,98.0,30.0
E01001420,569.0,1.0,62.0,138.0,283.0,65.0,20.0
E01001421,714.0,3.0,87.0,405.0,161.0,34.0,24.0
E01001422,559.0,0.0,7.0,73.0,81.0,159.0,239.0
E01001423,643.0,1.0,142.0,111.0,334.0,39.0,16.0
E01001424,496.0,2.0,165.0,202.0,97.0,23.0,7.0
E01001425,737.0,10.0,194.0,336.0,169.0,24.0,4.0
E01001426,628.0,1.0,90.0,210.0,282.0,33.0,12.0
E01001427,683.0,1.0,177.0,246.0,231.0,23.0,5.0
E01001428,611.0,5.0,97.0,139.0,319.0,41.0,10.0
E01001429,1134.0,4.0,483.0,535.0,90.0,17.0,5.0
E01001430,653.0,1.0,116.0,327.0,187.0,13.0,9.0
E01001431,614.0,8.0,164.0,218.0,205.0,16.0,3.0
E01001432,700.0,3.0,113.0,282.0,259.0,32.0,11.0
E01001433,584.0,1.0,13.0,170.0,352.0,32.0,16.0
E01001434,551.0,2.0,27.0,137.0,321.0,45.0,19.0
E01001435,489.0,4.0,14.0,48.0,354.0,50.0,19.0
E01001436,653.0,0.0,19.0,136.0,408.0,62.0,28.0
E01001437,990.0,6.0,298.0,366.0,270.0,43.0,7.0
E01001438,566.0,1.0,51.0,119.0,342.0,43.0,10.0
E01001439,790.0,2.0,132.0,330.0,270.0,45.0,11.0
E01001440,597.0,1.0,66.0,119.0,349.0,49.0,13.0
E01001441,637.0,3.0,188.0,173.0,240.0,29.0,4.0
E01001442,617.0,0.0,94.0,312.0,186.0,21.0,4.0
E01001444,638.0,4.0,29.0,205.0,339.0,43.0,18.0
E01001445,980.0,1.0,230.0,426.0,267.0,47.0,9.0
E01001446,714.0,1.0,128.0,232.0,282.0,55.0,16.0
E01001447,783.0,0.0,173.0,225.0,337.0,37.0,11.0
E01001448,655.0,2.0,108.0,119.0,371.0,46.0,9.0
E01001449,575.0,0.0,46.0,132.0,347.0,42.0,8.0
E01001450,924.0,6.0,211.0,493.0,118.0,64.0,32.0
E01001451,661.0,1.0,97.0,114.0,231.0,153.0,65.0
E01001452,488.0,1.0,10.0,39.0,164.0,150.0,124.0
E01001453,661.0,1.0,42.0,174.0,167.0,188.0,89.0
E01001454,660.0,0.0,50.0,192.0,167.0,143.0,108.0
E01001455,581.0,0.0,61.0,77.0,301.0,116.0,26.0
E01001456,481.0,0.0,12.0,48.0,172.0,187.0,62.0
E01001457,798.0,6.0,213.0,296.0,184.0,71.0,28.0
E01001458,664.0,2.0,185.0,247.0,204.0,21.0,5.0
E01001459,556.0,3.0,11.0,59.0,438.0,39.0,6.0
E01001460,660.0,4.0,216.0,172.0,213.0,33.0,22.0
E01001461,707.0,2.0,265.0,182.0,202.0,40.0,16.0
E01001462,531.0,7.0,172.0,117.0,174.0,47.0,14.0
E01001463,513.0,0.0,22.0,111.0,327.0,42.0,11.0
E01001464,422.0,3.0,48.0,23.0,313.0,27.0,8.0
E01001465,506.0,4.0,23.0,57.0,360.0,58.0,4.0
E01001466,620.0,4.0,40.0,339.0,209.0,21.0,7.0
E01001467,634.0,2.0,44.0,296.0,250.0,29.0,13.0
E01001468,524.0,3.0,93.0,155.0,134.0,98.0,41.0
E01001469,633.0,0.0,70.0,115.0,349.0,71.0,28.0
E01001470,641.0,0.0,22.0,163.0,276.0,141.0,39.0
E01001471,930.0,2.0,292.0,391.0,147.0,70.0,28.0
E01001472,771.0,1.0,158.0,312.0,146.0,103.0,51.0
E01001473,547.0,1.0,5.0,69.0,349.0,98.0,25.0
E01001474,840.0,1.0,166.0,285.0,172.0,154.0,62.0
E01001475,635.0,0.0,4.0,42.0,330.0,208.0,51.0
E01001476,593.0,3.0,37.0,166.0,329.0,46.0,12.0
E01001477,607.0,1.0,50.0,131.0,373.0,44.0,8.0
E01001478,544.0,2.0,24.0,146.0,311.0,50.0,11.0
E01001479,639.0,5.0,132.0,188.0,272.0,32.0,10.0
E01001480,588.0,1.0,156.0,106.0,279.0,37.0,9.0
E01001481,556.0,0.0,26.0,91.0,390.0,38.0,11.0
E01001482,690.0,6.0,141.0,195.0,302.0,34.0,12.0
E01001483,609.0,21.0,315.0,143.0,112.0,11.0,7.0
E01001484,516.0,0.0,11.0,203.0,249.0,47.0,6.0
E01001485,682.0,1.0,111.0,262.0,280.0,22.0,6.0
E01001486,818.0,3.0,198.0,319.0,256.0,30.0,12.0
E01001487,723.0,13.0,109.0,209.0,349.0,33.0,10.0
E01001488,663.0,6.0,58.0,185.0,350.0,51.0,13.0
E01001489,664.0,2.0,43.0,287.0,290.0,33.0,9.0
E01001491,722.0,2.0,133.0,223.0,319.0,28.0,17.0
E01001492,680.0,1.0,51.0,206.0,359.0,57.0,6.0
E01001493,735.0,8.0,197.0,118.0,346.0,54.0,12.0
